笔记id: 693f7097000000001b0331de
笔记url: https://www.xiaohongshu.com/explore/693f7097000000001b0331de?xsec_token=ABWIg2ygkFhhHM62ouFjlh2mEqG5msX4JlUS9vy11enqU&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 嗖
描述: ＋5000到帐#我的炒股日记[话题]#
点赞数量: 1618
收藏数量: 65
评论数量: 312
分享数量: 22
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602121337/8a37da18db3af6c45c5329b727c7c8d9/notes_pre_post/1040g3k831q3jjinf7gpg4a7r1e8cb33vb4hsleo!nd_dft_wgth_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-12-15 10:21:11
ip归属地: 未知
图片文字: 图1: 无
