笔记id: 68f58e9a000000000302dc2c
笔记url: https://www.xiaohongshu.com/explore/68f58e9a000000000302dc2c?xsec_token=ABmWT9lZzQntPEhjx9uVJI1SNyZcs0NwgotNU18kaPrvo=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 情绪要反过来
描述: #我的炒股日记[话题]#
点赞数量: 1353
收藏数量: 101
评论数量: 90
分享数量: 6
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602171045/f8e502292cc31fe97397e16df6934e47/1040g00831nrdfbi7061g4a7r1e8cb33vm1rhg1o!nd_dft_wlteh_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-10-20 09:21:30
ip归属地: 未知
图片文字: 无
