笔记id: 68522279000000001101e396
笔记url: https://www.xiaohongshu.com/explore/68522279000000001101e396?xsec_token=AB25qdA-qIvqfYGQaWEqp2gM7H40m1KeEu-NbbsdcSqWs=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: momo：吴富贵买的平安要跌停了[暗中观察R][暗中观察R][暗中观察R][暗中观察R][暗中观察R][暗中观察R]
点赞数量: 536
收藏数量: 48
评论数量: 401
分享数量: 11
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602282317/93622f5c5ea086cf7e55c7cced25a004/notes_pre_post/1040g3k831irsug8che004a7r1e8cb33v5p9v2p0!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-06-18 10:20:41
ip归属地: 未知
图片文字: 无
