笔记id: 6853801d000000001202e095
笔记url: https://www.xiaohongshu.com/explore/6853801d000000001202e095?xsec_token=ABjb0GvsoFhD8PPe17bP6IusQxdaVKw2l2Itx_QW_q1bk=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 小昭一直不去46.10的原因是因为任务量还需要他
只能持有着 看戏了#我的炒股日记[话题]#
点赞数量: 502
收藏数量: 56
评论数量: 63
分享数量: 7
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602282155/db1503f6ea606be70313b2c9cd49df69/notes_pre_post/1040g3k031it7k95u1e704a7r1e8cb33vclb4p1o!nd_dft_wlteh_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-06-19 11:12:29
ip归属地: 未知
图片文字: 无
