笔记id: 68e79d87000000000303a36b
笔记url: https://www.xiaohongshu.com/explore/68e79d87000000000303a36b?xsec_token=ABobWoWK19Z_ALOXldgs9GYD7U-wjzQArVwH2H8T9b86s=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #日本料理[话题]#
点赞数量: 1163
收藏数量: 34
评论数量: 106
分享数量: 2
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602180108/7ec2726e15eecd95363a9ded9b5371b6/1040g2sg31ndnkibn5i604a7r1e8cb33v33lqdmo!nd_dft_wlteh_jpg_3']
标签: ['日本料理']
上传时间: 2025-10-09 19:33:27
ip归属地: 未知
图片文字: 无
