笔记id: 68f879e5000000000300e67e
笔记url: https://www.xiaohongshu.com/explore/68f879e5000000000300e67e?xsec_token=ABP05Gxi45fCsVOWvlQyX0cFei0BceP4DJYsXsEOQSjsM=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 美的还是低估
点赞数量: 1472
收藏数量: 350
评论数量: 311
分享数量: 58
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602161828/f4d9195a78bffb28c41ab9a03f155ca7/1040g2sg31nu75cltl82g4a7r1e8cb33vh2iq8mo!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-10-22 14:29:57
ip归属地: 未知
图片文字: 图1: 美的还是, 低估
