笔记id: 6901e427000000000302e487
笔记url: https://www.xiaohongshu.com/explore/6901e427000000000302e487?xsec_token=AB8vraqgNIv2JEXDUAHJY0_koSemfX9d1ecSa2S3GJ-50=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 招商银行公告，第三季度营收为814.51亿元，同比增长2.11%；净利润为388.42亿元，同比增长1.04%。前三季度营收为2514.2亿元，同比下降0.51%；净利润为1137.72亿元，同比增长0.52%。
#我的炒股日记[话题]#
点赞数量: 1281
收藏数量: 90
评论数量: 211
分享数量: 52
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602161054/37ef55b52f8dd007181d373b0865f901/1040g2sg31o7hb00a58kg4a7r1e8cb33vbs0cjr8!nd_dft_wlteh_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-10-29 17:53:43
ip归属地: 未知
图片文字: 图1: 非文字图(跳过)
