笔记id: 6911751b000000000301d7eb
笔记url: https://www.xiaohongshu.com/explore/6911751b000000000301d7eb?xsec_token=ABTSodEtAaL59yUlzA2HZlmKU0qhouAcOlGTLEqsgA5lE=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #在小红书随手拍[话题]#
点赞数量: 1605
收藏数量: 142
评论数量: 201
分享数量: 28
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602151427/5291645800b8b945ad05a6ac004740cf/1040g00831ommh17rmm404a7r1e8cb33vn2r1rk8!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2025-11-10 13:16:11
ip归属地: 未知
图片文字: 无
