笔记id: 691bd44b000000001b0270c6
笔记url: https://www.xiaohongshu.com/explore/691bd44b000000001b0270c6?xsec_token=ABTnEjM0fWiGP4hBhmKVZXlEX_uZfq6moYXJzX6mv54u8=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #在小红书随手拍[话题]#
点赞数量: 1704
收藏数量: 140
评论数量: 257
分享数量: 22
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602150408/cf81fbe55d6756657bfdca8123d6182c/1040g00831p0rsalris5g4a7r1e8cb33vngtgs78!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2025-11-18 10:04:59
ip归属地: 未知
图片文字: 无
