笔记id: 6925336c000000001b0324eb
笔记url: https://www.xiaohongshu.com/explore/6925336c000000001b0324eb?xsec_token=ABAWqZhqD4fTnbJmqw9RWBN8sydcm1bUfvfuhBLYbKwAw=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #在小红书随手拍[话题]#
点赞数量: 1426
收藏数量: 57
评论数量: 138
分享数量: 11
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602142229/5a729e2ffc88606ec887c76f09b63879/1040g00831p9pd1e3iu4g4a7r1e8cb33vm6u5ha0!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2025-11-25 12:41:16
ip归属地: 未知
图片文字: 无
