笔记id: 696ba580000000002102b90b
笔记url: https://www.xiaohongshu.com/explore/696ba580000000002102b90b?xsec_token=ABS6KpEjkDTTIqWST0_nKU7XB5v-A-lI8hZRqrS1wK0M4=
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #萝卜纸巾猫[话题]#
点赞数量: 1757
收藏数量: 34
评论数量: 209
分享数量: 12
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202601251916/c1907b23750ad8fe4ef81ea0b71faf2e/1040g00831repg47rno504a7r1e8cb33ven1n9e8!nd_dft_wlteh_webp_3']
标签: ['萝卜纸巾猫']
上传时间: 2026-01-17 23:06:40
ip归属地: 上海
