笔记id: 6868a480000000001202d0a5
笔记url: https://www.xiaohongshu.com/explore/6868a480000000001202d0a5?xsec_token=AB0LQT8dqP1pIHDjGVGUcjDKkhHFRDDBYipL_QJ7WdNks=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 星星人隐藏款
描述: 这………我女儿运气真好
#我的玩具[话题]# #泡泡玛特[话题]# #星星人[话题]# #盲盒[话题]# #盲盒隐藏[话题]#
点赞数量: 952
收藏数量: 29
评论数量: 272
分享数量: 20
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602270927/527434ada2b923a77e7ca7a9f51309e8/1040g00831jhg2o2m2u3g4a7r1e8cb33vn3kh5t0!nd_dft_wlteh_jpg_3']
标签: ['我的玩具', '泡泡玛特', '星星人', '盲盒', '盲盒隐藏']
上传时间: 2025-07-05 12:05:20
ip归属地: 未知
图片文字: 无
