笔记id: 68c2ce52000000001d038a14
笔记url: https://www.xiaohongshu.com/explore/68c2ce52000000001d038a14?xsec_token=ABjk6QllCNwDL3I5BBTHuafJpuLNzSWKxoOtuFUDjFnzI=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 致大家
描述: #我的炒股日记[话题]#
点赞数量: 1643
收藏数量: 121
评论数量: 128
分享数量: 12
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602191615/518fc262567ac75e6064db1f8a495d84/notes_pre_post/1040g3k831m9p9pvn6g1g4a7r1e8cb33voh65ooo!nd_dft_wlteh_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-09-11 21:27:46
ip归属地: 未知
图片文字: 图1: 非文字图(跳过)
