笔记id: 68f4f64f000000000303b83f
笔记url: https://www.xiaohongshu.com/explore/68f4f64f000000000303b83f?xsec_token=ABdkCKB4OdlXmN_48sH34LNuWzlILCVSXUByLlzNLxquA=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 茅台YYDS喝完
描述: #茅台[话题]#
点赞数量: 1255
收藏数量: 106
评论数量: 89
分享数量: 25
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602171105/01cd68283ff4f7bce118599400ae7fbf/1040g00831nqspob5065g4a7r1e8cb33v2k1b480!nd_dft_wlteh_jpg_3']
标签: ['茅台']
上传时间: 2025-10-19 22:31:43
ip归属地: 未知
图片文字: 无
